Field-dependent bandpasses, for each SCA
 SCA  Filt  W(blue)  dW(blue)  W(red)  dW(red)
   1  F184  1683.63     9.39  2005.34    14.38
   1  F213  1963.40     9.99  2312.95    13.17
   2  F184  1682.89     9.87  2004.20    14.42
   2  F213  1962.54    10.51  2312.05    13.16
   3  F184  1679.91     9.89  2001.41    15.15
   3  F213  1959.32    10.50  2308.41    13.82
   4  F184  1681.12     9.89  2002.44    15.09
   4  F213  1960.20    10.50  2309.27    13.82
   5  F184  1680.97     9.89  2002.28    15.09
   5  F213  1960.03    10.50  2309.09    13.82
   6  F184  1678.23     9.87  1999.27    15.15
   6  F213  1957.36    10.99  2306.03    13.84
   7  F184  1675.10    10.37  1995.96    15.86
   7  F213  1953.46    11.48  2302.54    14.45
   8  F184  1676.23    10.34  1997.15    15.11
   8  F213  1955.02    11.00  2303.59    14.48
   9  F184  1674.84    10.36  1995.69    15.13
   9  F213  1953.16    11.47  2301.90    14.50
  10  F184  1683.63     9.39  2005.34    14.38
  10  F213  1963.40     9.99  2312.95    13.17
  11  F184  1682.89     9.87  2004.20    14.42
  11  F213  1962.54    10.51  2312.05    13.16
  12  F184  1679.91     9.89  2001.41    15.15
  12  F213  1959.32    10.50  2308.41    13.82
  13  F184  1681.19     9.88  2002.15    14.43
  13  F213  1960.29    10.48  2309.36    13.81
  14  F184  1680.97     9.89  2002.28    15.09
  14  F213  1960.03    10.50  2309.09    13.82
  15  F184  1678.23    10.34  1999.27    15.15
  15  F213  1957.36    10.99  2306.03    13.84
  16  F184  1675.23    10.34  1995.85    15.16
  16  F213  1953.33    11.51  2302.41    14.47
  17  F184  1676.23    10.34  1997.15    15.11
  17  F213  1955.02    11.50  2303.59    14.48
  18  F184  1674.84    10.36  1995.69    15.85
  18  F213  1953.16    10.97  2301.90    14.50
