Field-dependent bandpasses, for each SCA
 SCA  Filt  W(blue)  dW(blue)  W(red)  dW(red)
   1  F062   481.78     5.24   761.22     6.47
   1  F087   762.51     5.18   983.59     4.80
   1  F106   934.47     5.42  1200.30     7.08
   1  F129  1128.36     5.30  1453.59     5.96
   1  F146   927.68     6.57  2002.26     8.01
   1  F158  1386.44     7.87  1784.93    10.17
   2  F062   481.70     5.25   760.92     6.44
   2  F087   762.14     5.18   983.21     5.05
   2  F106   934.09     5.42  1199.82     7.07
   2  F129  1127.99     5.29  1453.17     5.95
   2  F146   927.27     6.56  2001.68     8.00
   2  F158  1385.83     8.27  1784.24    10.16
   3  F062   480.72     5.23   759.72     6.46
   3  F087   760.65     5.44   981.76     5.04
   3  F106   932.53     5.69  1197.89     7.42
   3  F129  1125.86     5.83  1450.74     6.55
   3  F146   925.47     6.91  1998.54     8.78
   3  F158  1383.38     8.29  1781.43    10.66
   4  F062   481.14     5.51   760.13     6.45
   4  F087   761.16     5.42   982.17     5.04
   4  F106   933.06     5.67  1198.37     7.43
   4  F129  1126.67     5.56  1451.66     6.25
   4  F146   926.02     6.89  1999.40     8.38
   4  F158  1384.41     8.29  1782.13    10.67
   5  F062   481.09     5.24   760.06     6.45
   5  F087   760.94     5.45   982.20     5.06
   5  F106   932.82     5.69  1198.25     7.42
   5  F129  1126.55     5.82  1451.52     6.55
   5  F146   926.09     6.91  1999.41     8.81
   5  F158  1384.26     8.29  1781.96    10.67
   6  F062   480.24     5.25   759.21     6.78
   6  F087   759.81     5.43   980.76     5.29
   6  F106   931.65     5.67  1196.62     7.43
   6  F129  1124.74     5.82  1449.45     6.55
   6  F146   924.71     6.91  1996.76     8.77
   6  F158  1381.99     8.26  1779.60    10.68
   7  F062   479.34     5.24   757.94     6.78
   7  F087   758.10     5.69   979.10     5.28
   7  F106   929.86     5.94  1194.75     7.78
   7  F129  1122.62     6.35  1447.03     7.15
   7  F146   922.80     7.23  1993.42     9.58
   7  F158  1379.59     9.07  1776.87    11.18
   8  F062   479.80     5.51   758.24     6.47
   8  F087   758.81     5.68   979.71     5.30
   8  F106   930.60     5.94  1195.33     7.77
   8  F129  1123.40     6.10  1448.06     6.83
   8  F146   923.60     6.90  1994.65     9.20
   8  F158  1380.35     8.66  1777.71    11.18
   9  F062   479.27     5.23   757.85     6.76
   9  F087   758.12     5.69   979.10     5.28
   9  F106   929.88     5.95  1194.43     7.79
   9  F129  1122.60     6.08  1447.00     6.84
   9  F146   922.84     6.91  1992.98     9.17
   9  F158  1379.21     8.68  1776.41    11.19
  10  F062   481.78     5.24   761.22     6.47
  10  F087   762.51     5.18   983.59     4.80
  10  F106   934.47     5.42  1200.30     7.08
  10  F129  1128.36     5.30  1453.59     5.96
  10  F146   927.68     6.57  2002.26     8.01
  10  F158  1386.44     7.87  1784.93    10.17
  11  F062   481.70     5.25   760.92     6.44
  11  F087   762.14     5.18   983.21     5.05
  11  F106   934.09     5.42  1199.82     7.07
  11  F129  1127.99     5.29  1453.17     5.95
  11  F146   927.27     6.56  2001.68     8.00
  11  F158  1385.83     8.27  1784.24    10.16
  12  F062   480.72     5.23   759.72     6.46
  12  F087   760.65     5.44   981.76     5.04
  12  F106   932.53     5.69  1197.89     7.42
  12  F129  1125.86     5.83  1450.74     6.55
  12  F146   925.47     6.91  1998.54     8.78
  12  F158  1383.38     8.29  1781.43    10.66
  13  F062   481.15     5.50   760.31     6.79
  13  F087   761.05     5.44   982.31     5.06
  13  F106   932.94     5.68  1198.39     7.41
  13  F129  1126.70     5.55  1451.69     6.24
  13  F146   926.21     6.91  1999.64     8.39
  13  F158  1384.44     8.27  1782.16    10.65
  14  F062   481.09     5.50   760.06     6.45
  14  F087   760.94     5.45   982.20     5.06
  14  F106   932.82     5.69  1198.25     7.42
  14  F129  1126.55     5.82  1451.52     6.55
  14  F146   926.09     6.91  1999.41     8.81
  14  F158  1384.26     8.29  1781.96    10.67
  15  F062   480.24     5.25   759.21     6.78
  15  F087   759.81     5.43   980.76     5.29
  15  F106   931.65     5.67  1196.62     7.43
  15  F129  1124.74     5.82  1449.45     6.55
  15  F146   924.71     6.91  1996.76     8.77
  15  F158  1381.99     8.66  1779.60    10.68
  16  F062   479.34     5.24   757.94     6.78
  16  F087   758.10     5.69   979.10     5.28
  16  F106   929.86     5.94  1194.75     7.78
  16  F129  1122.62     6.35  1447.03     7.15
  16  F146   922.80     7.23  1993.42     9.58
  16  F158  1379.59     9.07  1776.87    11.18
  17  F062   479.80     5.51   758.24     6.47
  17  F087   758.81     5.68   979.71     5.30
  17  F106   930.60     5.94  1195.33     7.77
  17  F129  1123.40     6.10  1448.06     6.83
  17  F146   923.60     6.90  1994.65     9.20
  17  F158  1380.35     8.66  1777.71    11.18
  18  F062   479.27     5.23   757.85     6.76
  18  F087   758.12     5.69   979.10     5.52
  18  F106   929.88     5.95  1194.43     7.79
  18  F129  1122.60     6.08  1447.00     6.84
  18  F146   922.84     6.91  1992.98     9.17
  18  F158  1379.21     8.68  1776.41    11.19
